algo,grid,state_mode,seed,sigma,lr,gamma,hidden_size,epsilon_min,epsilon_decay,episodes,max_steps,eval_episodes,success_rate,mean_path_eff,std_path_eff,mean_steps_success,optimal_steps,n_success
PPO,A1_grid,gps,0,0.0,0.0005,0.99,256,,,500,500,100,0.0,0.0,0.0,nan,18.0,0
PPO,A1_grid,gps,42,0.0,0.0005,0.99,256,,,500,500,100,0.0,0.0,0.0,nan,18.0,0
PPO,A1_grid,gps,0,0.1,0.0005,0.99,256,,,500,500,100,0.0,0.0,0.0,nan,18.0,0
PPO,A1_grid,gps,42,0.1,0.0005,0.99,256,,,500,500,100,0.0,0.0,0.0,nan,18.0,0
DQN,A1_grid,gps,0,0.0,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.8571428571428572,1.1102230246251565e-16,21.0,18.0,100
DQN,A1_grid,gps,42,0.0,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.9473684210526316,1.1102230246251565e-16,19.0,18.0,100
DQN,A1_grid,gps,1,0.0,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.8571428571428572,1.1102230246251565e-16,21.0,18.0,100
DQN,A1_grid,gps,2,0.0,0.0005,0.99,256,0.1,0.995,500,500,100,0.0,0.0,0.0,nan,18.0,0
DQN,A1_grid,gps,3,0.0,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.9473684210526316,1.1102230246251565e-16,19.0,18.0,100
DQN,A1_grid,gps,0,0.1,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.6974696636881855,0.14393757066097332,29.14,18.0,100
DQN,A1_grid,gps,42,0.1,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.9055534488394901,0.07130894508119726,20.01,18.0,100
DQN,A1_grid,gps,1,0.1,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.3985198910143536,0.20380023084554633,62.8,18.0,100
DQN,A1_grid,gps,2,0.1,0.0005,0.99,256,0.1,0.995,500,500,100,1.0,0.803381473598865,0.07215819687343085,22.6,18.0,100
DQN,A1_grid,gps,3,0.1,0.0005,0.99,256,0.1,0.995,500,500,100,0.0,0.0,0.0,nan,18.0,0
