seed,n,mean_success_rate,std_success_rate,sum_success_rate,mean_path_eff,std_path_eff,n_path_eff,mean_steps_success,n_steps_success
0,2,1.0,0.0,2.0,0.9069634984171371,0.05714118957775214,2,20.994999999999997,2
1,2,1.0,0.0,2.0,0.8771516534095196,0.09930150510688933,2,20.785,2
2,2,0.5,0.7071067811865476,1.0,0.6882301161140443,0.0,1,26.49,1
3,2,1.0,0.0,2.0,0.8725028305869149,0.10587593339168655,2,20.880000000000003,2
4,2,0.5,0.7071067811865476,1.0,0.8413598996731722,0.0,1,21.58,1
5,2,1.0,0.0,2.0,0.8799382162157787,0.09536071019387318,2,20.66,2
6,2,0.5,0.7071067811865476,1.0,0.6673405298192487,0.0,1,27.25,1
7,2,0.5,0.7071067811865476,1.0,0.8129528483971985,0.0,1,26.93,1
8,2,0.5,0.7071067811865476,1.0,0.8879542402087469,0.0,1,20.7,1
42,2,0.995,0.007071067811865481,1.99,0.9175985674425805,0.04210093072519596,2,21.31818181818182,2
