episode,reward,steps,success,epsilon
1,-139.9999999999994,500,0,0.995
2,-127.99999999999937,500,0,0.990025
3,-122.7999999999993,500,0,0.985074875
4,-113.19999999999946,500,0,0.9801495006250001
5,-124.39999999999918,500,0,0.9752487531218751
6,-128.79999999999927,500,0,0.9703725093562657
7,-160.39999999999944,500,0,0.9655206468094844
8,-115.19999999999926,500,0,0.960693043575437
9,-117.19999999999922,500,0,0.9558895783575597
10,-120.7999999999993,500,0,0.9511101304657719
11,-115.19999999999919,500,0,0.946354579813443
12,-113.99999999999937,500,0,0.9416228069143757
13,-128.39999999999935,500,0,0.9369146928798039
14,-125.19999999999919,500,0,0.9322301194154049
15,-116.79999999999943,500,0,0.9275689688183278
16,-123.59999999999927,500,0,0.9229311239742362
17,-118.7999999999993,500,0,0.918316468354365
18,-111.5999999999992,500,0,0.9137248860125932
19,-107.59999999999928,500,0,0.9091562615825302
20,-107.19999999999935,500,0,0.9046104802746175
21,-122.39999999999941,500,0,0.9000874278732445
22,-149.9999999999994,500,0,0.8955869907338783
23,-127.1999999999993,500,0,0.8911090557802088
24,-118.79999999999953,500,0,0.8866535105013078
25,-93.59999999999954,500,0,0.8822202429488013
26,-121.99999999999952,500,0,0.8778091417340573
27,-105.19999999999936,500,0,0.8734200960253871
28,-107.59999999999931,500,0,0.8690529955452602
29,-108.79999999999936,500,0,0.8647077305675338
30,-109.59999999999943,500,0,0.8603841919146962
31,-107.59999999999967,500,0,0.8560822709551227
32,-108.39999999999921,500,0,0.851801859600347
33,-107.99999999999949,500,0,0.8475428503023453
34,-99.1999999999994,500,0,0.8433051360508336
35,-99.59999999999938,500,0,0.8390886103705794
36,-106.39999999999931,500,0,0.8348931673187264
37,-106.3999999999995,500,0,0.8307187014821328
38,-112.39999999999931,500,0,0.8265651079747222
39,-99.19999999999956,500,0,0.8224322824348486
40,-117.9999999999993,500,0,0.8183201210226743
41,-101.99999999999937,500,0,0.8142285204175609
42,-107.59999999999931,500,0,0.810157377815473
43,-109.5999999999994,500,0,0.8061065909263957
44,-115.59999999999914,500,0,0.8020760579717637
45,-104.39999999999935,500,0,0.798065677681905
46,-115.19999999999949,500,0,0.7940753492934954
47,-101.59999999999924,500,0,0.7901049725470279
48,-104.7999999999991,500,0,0.7861544476842928
49,-103.59999999999935,500,0,0.7822236754458713
50,-95.59999999999964,500,0,0.778312557068642
51,-81.9999999999999,500,0,0.7744209942832988
52,-92.79999999999961,500,0,0.7705488893118823
53,-91.99999999999963,500,0,0.7666961448653229
54,-91.99999999999959,500,0,0.7628626641409962
55,-95.1999999999995,500,0,0.7590483508202912
56,-97.59999999999954,500,0,0.7552531090661897
57,-82.39999999999993,500,0,0.7514768435208588
58,-85.99999999999957,500,0,0.7477194593032545
59,-92.79999999999966,500,0,0.7439808620067382
60,-14.200000000000038,131,1,0.7402609576967045
61,-87.59999999999951,500,0,0.736559652908221
62,-25.500000000000078,168,1,0.7328768546436799
63,-101.59999999999943,500,0,0.7292124703704616
64,-87.9999999999996,500,0,0.7255664080186093
65,-32.20000000000011,215,1,0.7219385759785162
66,-106.79999999999927,500,0,0.7183288830986236
67,-88.79999999999968,500,0,0.7147372386831305
68,-32.100000000000094,218,1,0.7111635524897149
69,-81.1999999999997,500,0,0.7076077347272662
70,-81.59999999999988,485,1,0.7040696960536299
71,-43.4000000000002,267,1,0.7005493475733617
72,-96.79999999999956,500,0,0.697046600835495
73,-82.39999999999984,500,0,0.6935613678313175
74,-38.20000000000017,247,1,0.6900935609921609
75,-89.19999999999978,500,0,0.6866430931872001
76,-97.19999999999953,500,0,0.6832098777212641
77,-90.79999999999963,500,0,0.6797938283326578
78,-103.59999999999937,500,0,0.6763948591909945
79,-92.79999999999941,500,0,0.6730128848950395
80,-80.39999999999982,500,0,0.6696478204705644
81,-81.19999999999993,500,0,0.6662995813682115
82,-88.39999999999966,500,0,0.6629680834613705
83,-79.99999999999982,500,0,0.6596532430440636
84,-82.39999999999971,500,0,0.6563549768288433
85,-79.20000000000002,500,0,0.653073201944699
86,-81.5999999999999,500,0,0.6498078359349755
87,-73.60000000000016,500,0,0.6465587967553006
88,-76.80000000000004,500,0,0.6433260027715241
89,-85.99999999999991,500,0,0.6401093727576664
90,-84.39999999999979,500,0,0.6369088258938781
91,-85.59999999999974,500,0,0.6337242817644086
92,-79.99999999999986,500,0,0.6305556603555866
93,-74.0,500,0,0.6274028820538087
94,-4.099999999999987,78,1,0.6242658676435396
95,-67.79999999999995,367,1,0.6211445383053219
96,-75.49999999999972,488,1,0.6180388156137953
97,-36.400000000000155,253,1,0.6149486215357263
98,-38.30000000000016,264,1,0.6118738784280476
99,-23.80000000000009,199,1,0.6088145090359074
100,-16.00000000000004,129,1,0.6057704364907278
101,-1.199999999999994,49,1,0.6027415843082742
102,-5.999999999999984,89,1,0.5997278763867329
103,-2.899999999999986,70,1,0.5967292370047992
104,-13.60000000000003,125,1,0.5937455908197752
105,-2.7999999999999936,69,1,0.5907768628656763
106,-27.000000000000085,203,1,0.5878229785513479
107,-63.79999999999997,415,1,0.5848838636585911
108,-12.300000000000018,120,1,0.5819594443402982
109,-24.70000000000001,128,1,0.5790496471185967
110,-9.699999999999989,98,1,0.5761543988830038
111,-9.29999999999999,122,1,0.5732736268885887
112,-3.199999999999987,65,1,0.5704072587541458
113,-11.60000000000003,137,1,0.567555222460375
114,4.200000000000004,43,1,0.5647174463480732
115,0.20000000000000995,55,1,0.5618938591163328
116,5.0,39,1,0.5590843898207511
117,-3.0999999999999854,76,1,0.5562889678716474
118,-7.999999999999989,93,1,0.5535075230322891
119,-5.299999999999981,94,1,0.5507399854171277
120,2.5000000000000044,48,1,0.547986285490042
121,-12.099999999999994,114,1,0.5452463540625918
122,-12.5,114,1,0.5425201222922789
123,-0.29999999999999005,56,1,0.5398075216808175
124,-1.6999999999999869,58,1,0.5371084840724134
125,-8.600000000000001,91,1,0.5344229416520513
126,0.3000000000000096,58,1,0.531750826943791
127,7.105427357601002e-15,53,1,0.5290920728090721
128,-27.100000000000016,140,1,0.5264466124450268
129,-0.09999999999998899,58,1,0.5238143793828016
130,1.0658141036401503e-14,57,1,0.5211953074858876
131,2.400000000000003,41,1,0.5185893309484582
132,4.1000000000000005,32,1,0.5159963842937159
133,-6.2999999999999865,76,1,0.5134164023722473
134,-0.8999999999999897,70,1,0.510849320360386
135,8.881784197001252e-15,61,1,0.5082950737585841
136,-3.2999999999999883,70,1,0.5057535983897912
137,-4.9999999999999805,87,1,0.5032248303978422
138,-13.000000000000032,155,1,0.500708706245853
139,-0.29999999999999183,60,1,0.4982051627146237
140,-2.3999999999999915,61,1,0.49571413690105054
141,0.20000000000000817,59,1,0.4932355662165453
142,-2.4999999999999876,74,1,0.4907693883854626
143,-9.299999999999986,98,1,0.4883155414435353
144,-3.499999999999991,72,1,0.4858739637363176
145,1.3000000000000078,60,1,0.483444593917636
146,3.200000000000002,37,1,0.4810273709480478
147,-0.699999999999994,64,1,0.47862223409330756
148,2.300000000000007,50,1,0.47622912292284103
149,0.8000000000000096,57,1,0.4738479773082268
150,-1.9999999999999893,69,1,0.47147873742168567
151,0.9000000000000057,48,1,0.46912134373457726
152,1.2000000000000064,49,1,0.46677573701590436
153,3.8000000000000025,43,1,0.46444185833082485
154,4.200000000000003,47,1,0.46211964903917074
155,0.10000000000000675,56,1,0.4598090507939749
156,3.1000000000000023,46,1,0.457510005540005
157,3.900000000000003,46,1,0.45522245551230495
158,1.300000000000006,60,1,0.4529463432347434
159,3.552713678800501e-15,53,1,0.4506816115185697
160,-1.4999999999999982,56,1,0.4484282034609769
161,3.1000000000000014,42,1,0.446186062443672
162,4.000000000000002,33,1,0.4439551321314536
163,5.699999999999999,36,1,0.4417353564707963
164,3.8000000000000043,47,1,0.43952667968844233
165,0.20000000000000995,63,1,0.43732904629000013
166,5.5,38,1,0.4351424010585501
167,-5.699999999999978,90,1,0.43296668905325736
168,2.9000000000000012,36,1,0.43080185560799106
169,2.5000000000000044,40,1,0.4286478463299511
170,2.6000000000000023,39,1,0.42650460709830135
171,3.1000000000000023,34,1,0.42437208406280985
172,4.500000000000002,40,1,0.4222502236424958
173,3.500000000000001,42,1,0.42013897252428334
174,0.6999999999999993,46,1,0.4180382776616619
175,5.200000000000001,33,1,0.4159480862733536
176,6.899999999999999,28,1,0.41386834584198684
177,5.400000000000001,35,1,0.4117990041127769
178,4.700000000000002,30,1,0.40974000909221303
179,5.7,28,1,0.40769130904675194
180,6.499999999999999,28,1,0.40565285250151817
181,5.3999999999999995,31,1,0.4036245882390106
182,0.4000000000000057,49,1,0.4016064652978155
183,1.5000000000000018,38,1,0.3995984329713264
184,2.8000000000000043,45,1,0.3976004408064698
185,2.300000000000005,46,1,0.39561243860243744
186,4.000000000000002,37,1,0.3936343764094253
187,4.600000000000001,31,1,0.39166620452737816
188,2.5000000000000053,44,1,0.3897078735047413
189,5.3999999999999995,39,1,0.3877593341372176
190,3.600000000000006,49,1,0.3858205374665315
191,6.099999999999998,28,1,0.38389143477919885
192,3.400000000000003,39,1,0.3819719776053028
193,5.699999999999999,32,1,0.3800621177172763
194,3.3000000000000025,44,1,0.37816180712868996
195,5.199999999999999,29,1,0.37627099809304654
196,0.5,44,1,0.3743896431025813
197,-7.599999999999987,85,1,0.37251769488706843
198,4.600000000000001,35,1,0.3706551064126331
199,-0.7999999999999972,53,1,0.36880183088056995
200,3.0,39,1,0.3669578217261671
201,4.9,36,1,0.36512303261753626
202,6.499999999999999,28,1,0.3632974174544486
203,4.699999999999999,42,1,0.3614809303671764
204,-1.199999999999994,49,1,0.3596735257153405
205,6.499999999999998,28,1,0.3578751580867638
206,0.4000000000000057,45,1,0.35608578229633
207,5.8999999999999995,34,1,0.3543053533848483
208,4.800000000000002,33,1,0.35253382661792404
209,3.100000000000003,46,1,0.3507711574848344
210,5.8,31,1,0.34901730169741024
211,-0.1999999999999993,47,1,0.3472722151889232
212,5.400000000000001,27,1,0.3455358541129786
213,4.999999999999999,35,1,0.3438081748424137
214,5.399999999999999,39,1,0.3420891339682016
215,-5.499999999999998,60,1,0.3403786882983606
216,-4.6999999999999975,60,1,0.3386767948568688
