episode,sarsa_return_mean,sarsa_return_std,random_return_mean,random_return_std,sarsa_steps_mean,sarsa_steps_std,random_steps_mean,random_steps_std,sarsa_success_rate,random_success_rate
0,-1144.8,43.40691189200172,-1180.0,66.93280212272605,500.0,0.0,500.0,0.0,0.0,0.0
1,-954.2,67.29754824657434,-893.0,254.69825284049358,460.2,57.59305513688261,409.4,121.3055645879446,0.4,0.4
2,-649.6,54.29401440306289,-1131.2,47.49063065489865,480.6,38.8,500.0,0.0,0.2,0.0
3,-390.0,118.29454763428448,-1165.6,61.428332225447896,235.4,80.66126703691184,500.0,0.0,1.0,0.0
4,-592.8,171.00923951646587,-1134.2,120.1139459013815,442.2,115.60000000000001,487.6,24.8,0.2,0.2
5,-652.0,114.43076509400782,-1006.4,201.3967229127624,446.8,65.93754620851462,455.8,88.4,0.4,0.2
6,-501.2,179.70798535401815,-1192.8,73.60000000000001,365.4,120.92907011963666,500.0,0.0,0.6,0.0
7,-631.6,109.90286620466274,-1131.2,43.036728500200844,464.8,60.00799946673777,500.0,0.0,0.4,0.0
8,-609.2,200.29318510623372,-1106.4,68.09875182409733,414.4,127.9587433511286,500.0,0.0,0.4,0.0
9,-512.0,183.75200679176268,-1268.8,129.2290988903041,377.0,115.31348576814422,500.0,0.0,0.6,0.0
10,-543.2,130.69873756085022,-1083.4,263.85723412481985,411.4,91.99043428531034,456.8,86.39999999999999,0.6,0.2
11,-453.2,183.41363090021417,-1120.8,49.34126062434968,343.6,124.5609890776402,500.0,0.0,0.8,0.0
12,-413.8,95.54349794727008,-1177.6,66.48187722981353,296.8,60.680804213523736,500.0,0.0,1.0,0.0
13,-601.8,152.9528031779738,-1172.0,73.23387194461317,421.2,110.04617212788457,500.0,0.0,0.6,0.0
14,-411.6,177.08822659905994,-1224.8,125.7400493080864,305.2,131.17530255349138,500.0,0.0,0.8,0.0
15,-525.8,148.41347647703697,-1146.4,61.428332225447896,364.0,87.1688017584273,500.0,0.0,1.0,0.0
16,-683.6,68.07525247841538,-1116.8,36.69550381177509,476.0,36.04996532591952,500.0,0.0,0.4,0.0
17,-384.0,169.8787803111383,-1122.4,91.27014846049063,298.2,123.35542144551248,500.0,0.0,1.0,0.0
18,-456.4,202.23016590014456,-1150.4,111.84560787085024,330.0,130.6491484855527,500.0,0.0,0.8,0.0
19,-432.8,69.5281238061261,-1060.4,230.22215358214336,319.8,56.925916769078036,451.4,97.19999999999999,1.0,0.2
20,-472.0,150.20652449211386,-1209.6,34.18537699075439,355.2,93.80277181405675,500.0,0.0,0.8,0.0
21,-441.6,185.34357285862384,-1123.2,57.6555287895272,325.4,138.18335645076797,500.0,0.0,1.0,0.0
22,-428.6,139.28905197466167,-1144.8,95.6460140309046,316.4,104.55161404779938,500.0,0.0,1.0,0.0
23,-516.0,54.84523680320835,-1131.2,44.21040601487392,372.6,42.11223100240594,500.0,0.0,1.0,0.0
24,-362.4,91.40809592153202,-1219.2,136.267971291863,278.2,63.54022348087864,500.0,0.0,1.0,0.0
25,-272.0,101.84890770155565,-1175.2,105.02266422063383,213.4,65.06181675914068,500.0,0.0,1.0,0.0
26,-488.0,74.70207493771508,-1124.8,44.137965517227904,346.2,39.98699788681316,500.0,0.0,1.0,0.0
27,-350.4,75.16009579557492,-1245.6,93.79466935812503,259.8,45.988694262829426,500.0,0.0,1.0,0.0
28,-414.6,113.05326178399277,-1162.4,57.94342067914182,318.4,96.2675438556526,500.0,0.0,1.0,0.0
29,-355.0,148.96845303620495,-1029.8,181.30901797759537,276.4,113.66019531920576,443.0,69.84554388076593,1.0,0.4
30,-242.8,66.60150148457616,-1128.0,73.40844638050856,190.6,41.706594202835596,500.0,0.0,1.0,0.0
31,-395.0,108.1905726022374,-1094.8,102.35311426624986,298.8,82.02780016555363,481.8,36.400000000000006,1.0,0.2
32,-334.6,118.35472107186938,-1104.4,156.39130410607874,244.8,76.58824975151215,469.8,60.4,1.0,0.2
33,-348.2,120.81622407607348,-1286.4,207.91690647948764,261.6,82.71057973439673,500.0,0.0,1.0,0.0
34,-300.0,68.38713329274741,-1163.6,236.25206877401095,236.6,59.02406288963849,480.2,39.6,1.0,0.2
35,-278.0,45.10432351781811,-1104.8,84.3383661212381,193.8,18.29098138427788,500.0,0.0,1.0,0.0
36,-369.8,119.32376125483138,-1209.6,230.17089303384995,265.6,66.88078946902466,466.8,60.57854405645616,1.0,0.4
37,-388.2,157.6038070606164,-1313.6,104.14144227923866,288.8,124.06675622421987,500.0,0.0,1.0,0.0
38,-316.0,76.48529270389177,-1195.2,82.3417269675588,238.2,57.21328517049165,500.0,0.0,1.0,0.0
39,-266.4,85.33838526712348,-1123.4,170.40610317708695,227.0,72.16924552744057,469.6,60.800000000000004,1.0,0.2
40,-284.8,150.0485254842579,-1177.6,137.46505010365362,219.8,104.30417057817007,500.0,0.0,1.0,0.0
41,-331.8,99.19758061565817,-1123.0,102.88245720238217,238.8,68.61020332282946,484.4,31.2,1.0,0.2
42,-212.8,52.90897844411664,-1108.8,53.74904650317064,163.8,32.089873792210525,500.0,0.0,1.0,0.0
43,-277.0,43.243496620879306,-1062.0,280.28556866167764,206.4,31.77797979733765,449.8,100.4,1.0,0.2
44,-289.6,58.82720459107334,-1148.8,110.19691465735328,221.4,38.96459931784235,500.0,0.0,1.0,0.0
45,-200.4,54.34556099627641,-1145.6,121.47361853505477,157.8,42.8037381545117,500.0,0.0,1.0,0.0
