algo,grid,state_mode,seed,sigma,lr,gamma,hidden_size,max_range,episodes,max_steps,final_success_rate,final_mean_reward,final_mean_steps,run_name
DQN,A1_grid,gps,0,0.0,0.0001,0.99,256,full,500,500,1.0,7.599999999999999,25.0,dqn_A1_grid_gps_seed0_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,0,0.0,0.0005,0.99,256,full,500,500,1.0,8.0,21.0,dqn_A1_grid_gps_seed0_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,0,0.0,0.001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed0_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,0,0.1,0.0005,0.99,256,full,500,500,1.0,4.849999999999999,29.7,dqn_A1_grid_gps_seed0_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,1,0.0,0.0001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed1_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,1,0.0,0.0005,0.99,256,full,500,500,1.0,8.0,21.0,dqn_A1_grid_gps_seed1_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,1,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed1_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,1,0.1,0.0005,0.99,256,full,500,500,1.0,-6.719999999999999,52.6,dqn_A1_grid_gps_seed1_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,2,0.0,0.0001,0.99,256,full,500,500,1.0,7.799999999999999,23.0,dqn_A1_grid_gps_seed2_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,2,0.0,0.0005,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed2_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,2,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed2_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,2,0.1,0.0005,0.99,256,full,500,500,1.0,7.619999999999999,21.6,dqn_A1_grid_gps_seed2_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,3,0.0,0.0001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed3_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,3,0.0,0.0005,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed3_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,3,0.0,0.001,0.99,256,full,500,500,1.0,8.099999999999998,20.0,dqn_A1_grid_gps_seed3_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,3,0.1,0.0005,0.99,256,full,500,500,0.0,-53.120000000000445,500.0,dqn_A1_grid_gps_seed3_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,42,0.0,0.0001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed42_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,42,0.0,0.0005,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed42_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,42,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed42_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,42,0.1,0.0005,0.99,256,full,500,500,1.0,7.889999999999999,20.1,dqn_A1_grid_gps_seed42_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,4,0.0,0.0001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed4_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,4,0.0,0.0005,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed4_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,4,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed4_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,4,0.1,0.0005,0.99,256,full,500,500,1.0,7.7700000000000005,21.3,dqn_A1_grid_gps_seed4_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,5,0.0,0.0001,0.99,256,full,500,500,0.0,-50.00000000000044,500.0,dqn_A1_grid_gps_seed5_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,5,0.0,0.0005,0.99,256,full,500,500,1.0,7.7,24.0,dqn_A1_grid_gps_seed5_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,5,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed5_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,5,0.1,0.0005,0.99,256,full,500,500,1.0,7.669999999999999,21.1,dqn_A1_grid_gps_seed5_sigma0.1_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,6,0.0,0.0001,0.99,256,full,500,500,1.0,7.7,24.0,dqn_A1_grid_gps_seed6_sigma0.0_lr0.0001_g0.99_h256_rangefull
DQN,A1_grid,gps,6,0.0,0.0005,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed6_sigma0.0_lr0.0005_g0.99_h256_rangefull
DQN,A1_grid,gps,6,0.0,0.001,0.99,256,full,500,500,1.0,8.2,19.0,dqn_A1_grid_gps_seed6_sigma0.0_lr0.001_g0.99_h256_rangefull
DQN,A1_grid,gps,6,0.1,0.0005,0.99,256,full,500,500,0.0,-55.64000000000044,500.0,dqn_A1_grid_gps_seed6_sigma0.1_lr0.0005_g0.99_h256_rangefull
