algo,setup,grid,seed,convergence_metric,actual_steps_det,actual_steps_n10,optimal_steps,POR_det,POR_n10,elapsed_sec
sarsa,A_conservative,large_grid,0,201,17.0,19.0,17,1.0,0.8947,0.09
sarsa,A_conservative,large_grid,1,146,17.0,18.95,17,1.0,0.8971,0.06
sarsa,A_conservative,large_grid,2,190,17.0,19.05,17,1.0,0.8924,0.07
sarsa,A_conservative,large_grid,3,115,17.0,18.75,17,1.0,0.9067,0.05
sarsa,A_conservative,large_grid,4,133,17.0,18.9,17,1.0,0.8995,0.05
sarsa,A_conservative,A1_grid,0,130,28.0,31.55,28,1.0,0.8875,0.07
sarsa,A_conservative,A1_grid,1,171,28.0,31.55,28,1.0,0.8875,0.1
sarsa,A_conservative,A1_grid,2,263,28.0,31.5,28,1.0,0.8889,0.15
sarsa,A_conservative,A1_grid,3,200,28.0,31.15,28,1.0,0.8989,0.11
sarsa,A_conservative,A1_grid,4,329,28.0,31.0,28,1.0,0.9032,0.18
sarsa,B_aggressive,large_grid,0,169,17.0,19.0,17,1.0,0.8947,0.06
sarsa,B_aggressive,large_grid,1,243,17.0,18.95,17,1.0,0.8971,0.08
sarsa,B_aggressive,large_grid,2,217,17.0,19.05,17,1.0,0.8924,0.08
sarsa,B_aggressive,large_grid,3,131,17.0,18.75,17,1.0,0.9067,0.05
sarsa,B_aggressive,large_grid,4,111,17.0,18.9,17,1.0,0.8995,0.05
sarsa,B_aggressive,A1_grid,0,179,28.0,31.55,28,1.0,0.8875,0.09
sarsa,B_aggressive,A1_grid,1,254,28.0,31.55,28,1.0,0.8875,0.12
sarsa,B_aggressive,A1_grid,2,232,28.0,31.5,28,1.0,0.8889,0.13
sarsa,B_aggressive,A1_grid,3,323,28.0,30.8,28,1.0,0.9091,0.16
sarsa,B_aggressive,A1_grid,4,233,28.0,31.0,28,1.0,0.9032,0.13
mc,smoke_A,large_grid,0,133,33.2,35.55,17,0.512,0.4782,0.19
mc,smoke_A,large_grid,1,282,19.3,20.2,17,0.8808,0.8416,0.36
mc,smoke_A,large_grid,2,174,19.4,20.35,17,0.8763,0.8354,0.55
mc,smoke_A,large_grid,3,142,19.1,20.25,17,0.8901,0.8395,0.32
mc,smoke_A,large_grid,4,141,19.1,20.55,17,0.8901,0.8273,0.35
mc,smoke_A,A1_grid,0,,500.0,500.0,28,0.056,0.056,2.99
mc,smoke_A,A1_grid,1,,500.0,500.0,28,0.056,0.056,3.29
mc,smoke_A,A1_grid,2,466,48.8,54.35,28,0.5738,0.5152,2.0
mc,smoke_A,A1_grid,3,214,35.1,40.5,28,0.7977,0.6914,0.76
mc,smoke_A,A1_grid,4,312,44.2,58.6,28,0.6335,0.4778,1.53
mc,smoke_B,large_grid,0,144,25.2,25.55,17,0.6746,0.6654,0.38
mc,smoke_B,large_grid,1,176,25.0,25.0,17,0.68,0.68,0.41
mc,smoke_B,large_grid,2,107,25.8,25.9,17,0.6589,0.6564,0.26
mc,smoke_B,large_grid,3,252,23.5,24.85,17,0.7234,0.6841,0.62
mc,smoke_B,large_grid,4,238,23.6,25.0,17,0.7203,0.68,0.53
mc,smoke_B,A1_grid,0,334,52.6,60.45,28,0.5323,0.4632,1.49
mc,smoke_B,A1_grid,1,,45.0,48.25,28,0.6222,0.5803,2.0
mc,smoke_B,A1_grid,2,324,45.9,49.1,28,0.61,0.5703,1.4
mc,smoke_B,A1_grid,3,378,47.0,52.0,28,0.5957,0.5385,1.54
mc,smoke_B,A1_grid,4,395,40.2,41.7,28,0.6965,0.6715,1.44
vi,smoke_A,large_grid,0,47,17.0,19.0,17,1.0,0.8947,0.26
vi,smoke_A,large_grid,1,47,17.0,18.95,17,1.0,0.8971,0.25
vi,smoke_A,large_grid,2,47,17.0,19.05,17,1.0,0.8924,0.26
vi,smoke_A,large_grid,3,47,17.0,18.75,17,1.0,0.9067,0.29
vi,smoke_A,large_grid,4,47,17.0,18.9,17,1.0,0.8995,0.29
vi,smoke_A,A1_grid,0,47,28.0,31.55,28,1.0,0.8875,0.23
vi,smoke_A,A1_grid,1,47,28.0,31.55,28,1.0,0.8875,0.27
vi,smoke_A,A1_grid,2,47,28.0,31.55,28,1.0,0.8875,0.24
vi,smoke_A,A1_grid,3,47,28.0,31.15,28,1.0,0.8989,0.25
vi,smoke_A,A1_grid,4,47,28.0,31.0,28,1.0,0.9032,0.24
vi,smoke_B,large_grid,0,55,17.0,19.0,17,1.0,0.8947,0.56
vi,smoke_B,large_grid,1,55,17.0,18.95,17,1.0,0.8971,0.62
vi,smoke_B,large_grid,2,55,17.0,19.05,17,1.0,0.8924,0.59
vi,smoke_B,large_grid,3,55,17.0,18.75,17,1.0,0.9067,0.58
vi,smoke_B,large_grid,4,55,17.0,18.9,17,1.0,0.8995,0.58
vi,smoke_B,A1_grid,0,55,28.0,31.55,28,1.0,0.8875,0.55
vi,smoke_B,A1_grid,1,55,28.0,31.55,28,1.0,0.8875,0.56
vi,smoke_B,A1_grid,2,55,28.0,31.55,28,1.0,0.8875,0.53
vi,smoke_B,A1_grid,3,55,28.0,31.15,28,1.0,0.8989,0.52
vi,smoke_B,A1_grid,4,55,28.0,31.0,28,1.0,0.9032,0.51
