experiment,seed,eval_steps,failed_moves,reward,success
example_grid_same,0,500,0,-500.0,0
example_grid_same,1,3,0,8.0,1
example_grid_same,2,4,0,7.0,1
small_grid_same,0,3,0,8.0,1
small_grid_same,1,500,0,-500.0,0
small_grid_same,2,2,0,9.0,1
A1_grid_same,0,500,0,-500.0,0
A1_grid_same,1,500,0,-500.0,0
A1_grid_same,2,500,0,-500.0,0
large_grid_same,0,500,0,-500.0,0
large_grid_same,1,500,499,-2496.0,0
large_grid_same,2,500,500,-2500.0,0
A1_to_example_grid,0,500,0,-500.0,0
A1_to_example_grid,1,500,500,-2500.0,0
A1_to_example_grid,2,500,498,-2492.0,0
A1_to_small_grid,0,500,0,-500.0,0
A1_to_small_grid,1,3,0,8.0,1
A1_to_small_grid,2,500,500,-2500.0,0
A1_to_A1_grid,0,500,0,-500.0,0
A1_to_A1_grid,1,500,0,-500.0,0
A1_to_A1_grid,2,500,0,-500.0,0
A1_to_large_grid,0,500,0,-500.0,0
A1_to_large_grid,1,500,498,-2492.0,0
A1_to_large_grid,2,500,499,-2496.0,0
example_to_example_grid,0,500,0,-500.0,0
example_to_example_grid,1,3,0,8.0,1
example_to_example_grid,2,4,0,7.0,1
example_to_small_grid,0,3,0,8.0,1
example_to_small_grid,1,500,0,-500.0,0
example_to_small_grid,2,500,0,-500.0,0
example_to_A1_grid,0,500,500,-2500.0,0
example_to_A1_grid,1,500,500,-2500.0,0
example_to_A1_grid,2,500,500,-2500.0,0
example_to_large_grid,0,500,0,-500.0,0
example_to_large_grid,1,500,0,-500.0,0
example_to_large_grid,2,500,0,-500.0,0
