episode,reward,steps,success
1,-130.39999999999927,500,0
2,-133.19999999999905,500,0
3,-137.99999999999935,500,0
4,-93.2999999999995,402,1
5,-147.19999999999925,500,0
6,-148.79999999999933,500,0
7,-114.39999999999927,500,0
8,-139.1999999999993,500,0
9,-133.9999999999994,500,0
10,-61.3000000000001,334,1
11,-128.7999999999994,500,0
12,-97.99999999999935,500,0
13,-123.19999999999946,500,0
14,-46.80000000000012,241,1
15,-110.39999999999927,500,0
16,-111.59999999999921,500,0
17,-109.59999999999921,500,0
18,-112.39999999999954,500,0
19,-104.7999999999993,500,0
20,-111.9999999999993,500,0
21,-21.60000000000007,141,1
22,-99.59999999999958,473,1
23,-77.49999999999986,372,1
24,-88.79999999999964,441,1
25,-103.99999999999937,500,0
26,-57.100000000000136,312,1
27,-72.69999999999996,388,1
28,-29.500000000000057,160,1
29,-88.79999999999967,500,0
30,-31.5000000000001,188,1
31,-70.79999999999994,381,1
32,-21.40000000000004,147,1
33,-31.600000000000115,213,1
34,-2.1999999999999886,67,1
35,-60.89999999999996,322,1
36,-50.60000000000014,239,1
37,-25.700000000000074,154,1
38,-14.600000000000026,95,1
39,-91.19999999999956,500,0
40,-35.5000000000001,180,1
41,-23.800000000000082,179,1
42,-107.1999999999993,500,0
43,-7.699999999999996,78,1
44,-1.8999999999999915,56,1
45,-59.0000000000001,291,1
46,-5.599999999999989,73,1
47,-0.9999999999999911,55,1
48,-15.700000000000014,102,1
49,-15.100000000000033,108,1
50,-19.500000000000043,124,1
51,-103.59999999999926,500,0
52,-8.999999999999993,103,1
53,-5.89999999999999,72,1
54,-7.599999999999994,85,1
55,-27.500000000000064,168,1
56,-8.999999999999993,83,1
57,-45.80000000000023,315,1
58,-23.600000000000087,153,1
59,-4.299999999999988,72,1
60,-4.099999999999991,66,1
61,-69.49999999999983,300,1
62,0.10000000000000675,52,1
63,-1.8999999999999897,64,1
64,-14.700000000000024,116,1
65,-143.1999999999991,500,0
66,-21.200000000000053,197,1
67,2.400000000000003,41,1
68,-3.8999999999999897,68,1
69,-6.599999999999991,71,1
70,-13.000000000000028,95,1
71,-101.69999999999916,442,1
72,-51.400000000000276,331,1
73,-25.900000000000077,152,1
74,-6.699999999999989,84,1
75,-5.799999999999988,79,1
76,1.600000000000005,49,1
77,-15.000000000000014,103,1
78,-9.300000000000004,98,1
79,-8.20000000000001,79,1
80,-3.3999999999999915,63,1
81,-16.20000000000004,139,1
82,-4.499999999999991,74,1
83,-13.500000000000014,100,1
84,-139.5999999999992,500,0
85,-123.19999999999891,500,0
86,-38.1000000000002,278,1
87,-88.39999999999962,500,0
88,-10.70000000000001,88,1
89,-2.199999999999992,63,1
90,-3.199999999999994,61,1
91,-2.1999999999999957,51,1
92,-39.10000000000007,196,1
93,-1.2999999999999954,54,1
94,-4.899999999999993,62,1
95,-2.1999999999999886,75,1
96,-11.300000000000011,98,1
97,-7.399999999999988,79,1
98,-4.899999999999988,82,1
99,-2.599999999999989,67,1
100,-1.9999999999999947,53,1
101,-11.20000000000001,97,1
102,-10.0,85,1
103,-19.00000000000005,155,1
104,1.0000000000000107,55,1
105,0.40000000000000746,57,1
106,-15.900000000000034,132,1
107,-4.499999999999988,78,1
108,-3.899999999999988,84,1
109,-2.0999999999999925,62,1
110,-28.100000000000065,162,1
111,-7.099999999999991,92,1
112,-6.199999999999989,79,1
