episode,reward,steps,success
1,-135.5999999999994,500,0
2,-124.79999999999933,500,0
3,-112.79999999999941,500,0
4,-141.59999999999948,500,0
5,-126.39999999999944,500,0
6,-141.1999999999993,500,0
7,-148.7999999999993,500,0
8,-139.99999999999932,500,0
9,-146.3999999999995,500,0
10,-165.99999999999952,500,0
11,-173.59999999999943,500,0
12,-164.7999999999994,500,0
13,-143.19999999999928,500,0
14,-143.1999999999995,500,0
15,-26.400000000000055,125,1
16,-137.19999999999936,500,0
17,-146.39999999999966,500,0
18,-40.50000000000008,186,1
19,-91.39999999999984,359,1
20,-147.19999999999922,500,0
21,-48.60000000000011,211,1
22,-131.99999999999932,500,0
23,-88.59999999999962,403,1
24,-124.79999999999924,500,0
25,-124.79999999999936,500,0
26,-76.49999999999986,334,1
27,-119.99999999999937,500,0
28,-126.39999999999958,500,0
29,-147.19999999999942,500,0
30,-131.59999999999928,500,0
31,-121.99999999999926,500,0
32,-137.99999999999937,500,0
33,-147.19999999999916,500,0
34,-76.09999999999994,286,1
35,-106.49999999999964,442,1
36,-90.59999999999974,383,1
37,-130.39999999999927,500,0
38,-123.99999999999919,500,0
39,-75.59999999999985,297,1
40,-125.99999999999947,500,0
41,-126.79999999999922,500,0
42,-119.1999999999993,500,0
43,-101.89999999999971,420,1
44,-119.1999999999993,500,0
45,-63.200000000000045,285,1
46,-122.39999999999932,500,0
47,-113.59999999999928,500,0
48,-24.500000000000064,138,1
49,-57.90000000000009,260,1
50,-114.39999999999941,500,0
51,-113.19999999999949,461,1
52,-122.39999999999931,500,0
53,-90.29999999999971,372,1
54,-48.50000000000014,226,1
55,-122.39999999999924,500,0
56,-120.39999999999932,500,0
57,-76.79999999999984,357,1
58,-51.4000000000001,231,1
59,-17.80000000000003,111,1
60,-120.39999999999948,500,0
61,-103.39999999999955,423,1
62,-113.99999999999922,500,0
63,-77.89999999999986,324,1
64,-128.39999999999947,500,0
65,-119.19999999999959,445,1
66,-129.99999999999926,500,0
67,-123.59999999999943,500,0
68,-97.89999999999966,400,1
69,-43.30000000000007,178,1
70,-80.19999999999996,347,1
71,-145.59999999999937,500,0
72,-48.200000000000074,183,1
73,-132.79999999999927,500,0
74,-28.700000000000088,188,1
75,-68.59999999999997,299,1
76,-121.99999999999915,500,0
77,-142.3999999999992,500,0
78,-68.69999999999992,284,1
79,-68.69999999999997,288,1
80,-117.5999999999995,465,1
81,-100.59999999999974,371,1
82,-99.39999999999961,403,1
83,-129.9999999999992,500,0
