episode,reward,steps,success
1,-127.99999999999929,500,0
2,-132.39999999999935,500,0
3,-133.59999999999937,500,0
4,-131.19999999999945,500,0
5,-129.19999999999945,500,0
6,-116.39999999999944,500,0
7,-139.59999999999948,500,0
8,-140.79999999999944,500,0
9,-133.59999999999923,500,0
10,-127.19999999999929,500,0
11,-118.39999999999924,500,0
12,-135.9999999999995,500,0
13,-140.7999999999993,500,0
14,-123.9999999999992,500,0
15,-121.59999999999934,500,0
16,-109.19999999999933,500,0
17,-119.59999999999924,500,0
18,-115.5999999999993,500,0
19,-131.19999999999928,500,0
20,-142.79999999999927,500,0
21,-114.79999999999919,500,0
22,-116.39999999999931,500,0
23,-116.79999999999933,500,0
24,-117.9999999999993,500,0
25,-121.99999999999909,500,0
26,-117.1999999999993,500,0
27,-125.59999999999927,500,0
28,-112.7999999999993,500,0
29,-111.59999999999944,500,0
30,-123.59999999999924,500,0
31,-122.39999999999927,500,0
32,-121.99999999999915,500,0
33,-116.39999999999938,500,0
34,-131.19999999999948,500,0
35,-117.19999999999928,500,0
36,-118.79999999999906,500,0
37,-121.19999999999916,500,0
38,-112.79999999999934,500,0
39,-111.99999999999929,500,0
40,-116.79999999999947,500,0
41,-111.59999999999937,500,0
42,-115.5999999999994,500,0
43,-120.79999999999927,500,0
44,-121.99999999999926,500,0
45,-127.5999999999994,500,0
46,-123.99999999999912,500,0
47,-117.99999999999937,500,0
48,-110.7999999999993,500,0
49,-122.7999999999993,500,0
50,-115.59999999999933,500,0
51,-106.79999999999947,500,0
52,-115.99999999999945,500,0
53,-113.19999999999919,500,0
54,-105.19999999999943,500,0
55,-117.99999999999923,500,0
56,-109.99999999999949,500,0
57,-111.59999999999943,500,0
58,-129.59999999999934,500,0
59,-111.59999999999923,500,0
60,-141.99999999999955,500,0
61,-110.39999999999945,500,0
62,-105.59999999999951,500,0
63,-103.99999999999949,500,0
64,-108.79999999999927,500,0
65,-107.59999999999955,500,0
66,-101.19999999999945,500,0
67,-122.79999999999914,500,0
68,-107.99999999999908,500,0
69,-113.59999999999935,500,0
70,-104.39999999999937,500,0
71,-104.79999999999951,500,0
72,-105.19999999999943,500,0
73,-115.99999999999912,500,0
