episode,reward,steps,success
1,-145.59999999999926,500,0
2,-139.9999999999993,500,0
3,-129.59999999999923,500,0
4,-142.7999999999994,500,0
5,-135.19999999999914,500,0
6,-142.3999999999994,500,0
7,-133.5999999999996,500,0
8,-139.9999999999993,500,0
9,-123.19999999999936,500,0
10,-122.39999999999938,500,0
11,-129.99999999999935,500,0
12,-125.99999999999923,500,0
13,-161.99999999999952,500,0
14,-127.99999999999916,500,0
15,-120.79999999999941,500,0
16,-148.79999999999922,500,0
17,-130.39999999999915,500,0
18,-130.79999999999933,500,0
19,-135.9999999999994,500,0
20,-113.59999999999931,500,0
21,-126.79999999999907,500,0
22,-47.10000000000016,228,1
23,-114.39999999999944,500,0
24,-115.99999999999957,500,0
25,-127.99999999999926,500,0
26,-126.79999999999932,500,0
27,-118.79999999999944,500,0
28,-120.39999999999935,500,0
29,-128.3999999999992,500,0
30,-116.79999999999941,500,0
31,-48.50000000000011,222,1
32,-128.3999999999993,500,0
33,-110.69999999999922,484,1
34,-121.5999999999992,500,0
35,-113.99999999999916,500,0
36,-135.9999999999994,500,0
37,-48.20000000000015,259,1
38,-128.399999999999,500,0
39,-137.5999999999993,500,0
40,-121.39999999999935,499,1
41,-122.99999999999932,499,1
42,-131.59999999999945,500,0
43,-92.1999999999996,431,1
44,-126.79999999999917,500,0
45,-99.29999999999941,490,1
46,-121.99999999999925,500,0
47,-109.19999999999939,500,0
48,-136.39999999999904,500,0
49,-28.800000000000068,173,1
50,-125.5999999999994,500,0
51,-113.1999999999994,500,0
52,-129.19999999999936,500,0
53,-136.79999999999936,500,0
54,-129.1999999999993,500,0
55,-131.5999999999995,500,0
56,-133.59999999999903,500,0
57,-103.29999999999946,462,1
58,-109.1999999999992,500,0
59,-69.4,339,1
60,-127.19999999999933,500,0
61,-113.19999999999932,500,0
62,-60.099999999999994,266,1
63,-121.19999999999942,500,0
64,-111.09999999999937,432,1
65,-117.59999999999931,500,0
66,-66.00000000000004,309,1
67,-107.79999999999941,459,1
68,-123.99999999999915,500,0
69,-60.60000000000008,259,1
70,-115.19999999999933,500,0
71,-116.29999999999947,500,1
72,-121.59999999999917,500,0
73,-91.59999999999965,437,1
74,-129.1999999999995,500,0
75,-129.19999999999916,500,0
76,-144.39999999999924,500,0
77,-124.79999999999927,500,0
78,-104.19999999999959,463,1
79,-117.99999999999943,500,0
80,-112.69999999999956,440,1
81,-61.40000000000006,259,1
82,-40.300000000000075,216,1
83,-140.79999999999922,500,0
84,-122.39999999999934,500,0
85,-122.99999999999935,479,1
86,-91.09999999999985,372,1
87,-66.69999999999996,292,1
88,-107.1999999999995,500,0
89,-127.9999999999992,500,0
90,-97.99999999999956,500,0
91,-104.89999999999966,454,1
92,-124.79999999999947,500,0
93,-114.39999999999921,500,0
94,-77.09999999999988,372,1
95,-115.19999999999942,500,0
96,-104.19999999999945,499,1
97,-66.29999999999993,300,1
98,-96.19999999999968,391,1
99,-119.1999999999993,500,0
100,-129.5999999999993,500,0
101,-96.69999999999965,456,1
102,-118.7999999999994,500,0
103,-124.39999999999915,500,0
104,-96.29999999999957,416,1
105,-116.39999999999935,500,0
106,-114.79999999999953,500,0
107,-108.39999999999941,500,0
108,-125.19999999999939,500,0
109,-113.99999999999943,500,0
110,-125.59999999999908,500,0
111,-78.59999999999991,371,1
