episode,reward,steps,success
1,-228.19999999999882,500,0
2,-220.09999999999894,500,0
3,-200.29999999999873,500,0
4,-137.89999999999952,292,1
5,-225.49999999999886,500,0
6,-230.899999999999,500,0
7,-208.39999999999898,500,0
8,-216.49999999999886,500,0
9,-176.19999999999948,378,1
10,-215.59999999999877,500,0
11,-227.2999999999989,500,0
12,-261.4999999999992,500,0
13,-214.69999999999882,500,0
14,-234.49999999999886,500,0
15,-174.79999999999916,391,1
16,-203.89999999999876,500,0
17,-255.19999999999885,500,0
18,-243.49999999999875,500,0
19,-301.9999999999999,500,0
20,-255.19999999999916,500,0
21,-256.09999999999917,500,0
22,-263.2999999999995,500,0
23,-202.99999999999886,500,0
24,-251.5999999999989,500,0
25,-211.09999999999886,500,0
26,-196.6999999999987,500,0
27,-220.09999999999883,500,0
28,-256.0999999999988,500,0
29,-209.29999999999862,500,0
30,-220.09999999999883,500,0
31,-248.8999999999991,500,0
32,-239.89999999999884,500,0
33,-220.9999999999989,500,0
34,-240.79999999999876,500,0
35,-242.59999999999906,500,0
36,-256.9999999999993,500,0
37,-228.1999999999989,493,1
38,-213.79999999999873,500,0
39,-199.39999999999853,500,0
40,-157.19999999999965,323,1
41,-241.69999999999877,500,0
42,-82.69999999999983,235,1
43,-209.29999999999882,500,0
44,-191.29999999999873,500,0
45,-224.59999999999894,500,0
46,-157.09999999999883,500,0
47,-228.19999999999902,500,0
48,-190.39999999999867,500,0
49,-221.89999999999898,500,0
50,-226.39999999999898,500,0
51,-211.99999999999878,500,0
52,-190.39999999999887,500,0
53,-225.49999999999886,500,0
54,-225.49999999999878,500,0
55,-225.49999999999878,500,0
56,-196.69999999999894,500,0
57,-220.09999999999883,500,0
58,-67.60000000000001,183,1
59,-188.6999999999989,431,1
60,-213.79999999999868,500,0
61,-196.6999999999989,500,0
62,-184.0999999999989,500,0
63,-210.19999999999865,500,0
64,-210.199999999999,500,0
65,-234.49999999999912,500,0
66,-211.9999999999988,500,0
67,-223.6999999999991,500,0
68,-247.99999999999903,500,0
69,-210.1999999999991,500,0
70,-212.89999999999878,500,0
71,-210.19999999999877,500,0
72,-221.8999999999991,500,0
73,-175.99999999999883,500,0
74,-181.3999999999988,500,0
75,-237.19999999999885,500,0
76,-198.4999999999993,500,0
77,-207.49999999999864,500,0
78,-191.29999999999862,500,0
79,-193.99999999999872,500,0
80,-209.2999999999989,500,0
