episode,reward,steps,success
1,-248.89999999999895,500,0
2,-215.5999999999989,500,0
3,-157.59999999999945,345,1
4,-275.8999999999992,500,0
5,-125.39999999999966,248,1
6,-312.8000000000005,500,0
7,-228.19999999999877,500,0
8,-249.79999999999887,500,0
9,-225.49999999999875,500,0
10,-254.2999999999989,500,0
11,-232.69999999999885,500,0
12,-223.69999999999885,500,0
13,-254.2999999999988,500,0
14,-203.89999999999867,500,0
15,-209.29999999999907,500,0
16,-211.999999999999,500,0
17,-247.99999999999883,500,0
18,-207.49999999999886,500,0
19,-208.39999999999895,500,0
20,-260.59999999999934,500,0
