episode,return,steps,success
0,-156.0,67,1
1,-71.0,34,1
2,-3.0,14,1
3,-139.0,86,1
4,5.0,6,1
5,-5.0,16,1
6,-15.0,18,1
7,-1.0,12,1
8,3.0,8,1
9,0.0,7,1
10,-18.0,25,1
11,3.0,8,1
12,-4.0,11,1
13,-10.0,17,1
14,7.0,4,1
15,7.0,4,1
16,7.0,4,1
17,5.0,6,1
18,7.0,4,1
19,7.0,4,1
20,7.0,4,1
21,7.0,4,1
22,5.0,6,1
23,7.0,4,1
24,7.0,4,1
25,7.0,4,1
26,7.0,4,1
27,7.0,4,1
28,5.0,6,1
29,7.0,4,1
30,7.0,4,1
31,-3.0,6,1
32,7.0,4,1
33,7.0,4,1
34,2.0,5,1
35,7.0,4,1
36,5.0,6,1
37,7.0,4,1
38,7.0,4,1
39,7.0,4,1
40,2.0,5,1
41,7.0,4,1
42,7.0,4,1
43,1.0,10,1
44,7.0,4,1
45,7.0,4,1
46,0.0,7,1
47,7.0,4,1
48,7.0,4,1
49,5.0,6,1
