config_label,alpha,gamma,epsilon_label,shaping_weight,q_init,conv_ep_mean,conv_ep_std,POR_mean,POR_std,return_last10pct_mean
a=0.05_g=0.95_eps=fixed_0.10_sw=0.0_qi=0.0,0.05,0.95,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-132.0
a=0.05_g=0.95_eps=fixed_0.10_sw=0.0_qi=1.0,0.05,0.95,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-140.8
a=0.05_g=0.95_eps=fixed_0.10_sw=3.0_qi=0.0,0.05,0.95,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.05_g=0.95_eps=fixed_0.10_sw=3.0_qi=1.0,0.05,0.95,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.05_g=0.95_eps=fixed_0.30_sw=0.0_qi=0.0,0.05,0.95,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-148.8
a=0.05_g=0.95_eps=fixed_0.30_sw=0.0_qi=1.0,0.05,0.95,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-145.6
a=0.05_g=0.95_eps=fixed_0.30_sw=3.0_qi=0.0,0.05,0.95,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,120.6
a=0.05_g=0.95_eps=fixed_0.30_sw=3.0_qi=1.0,0.05,0.95,fixed_0.30,3.0,1.0,50.0,0.0,1.0,0.0,120.6
a=0.05_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=0.0,0.05,0.95,decay_0.30_to_0.05,0.0,0.0,50.0,0.0,0.28,0.0,-140.8
a=0.05_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=1.0,0.05,0.95,decay_0.30_to_0.05,0.0,1.0,50.0,0.0,0.28,0.0,-145.6
a=0.05_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=0.0,0.05,0.95,decay_0.30_to_0.05,3.0,0.0,50.0,0.0,1.0,0.0,119.2
a=0.05_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=1.0,0.05,0.95,decay_0.30_to_0.05,3.0,1.0,50.0,0.0,1.0,0.0,119.2
a=0.05_g=0.99_eps=fixed_0.10_sw=0.0_qi=0.0,0.05,0.99,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-144.0
a=0.05_g=0.99_eps=fixed_0.10_sw=0.0_qi=1.0,0.05,0.99,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-138.4
a=0.05_g=0.99_eps=fixed_0.10_sw=3.0_qi=0.0,0.05,0.99,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.05_g=0.99_eps=fixed_0.10_sw=3.0_qi=1.0,0.05,0.99,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.05_g=0.99_eps=fixed_0.30_sw=0.0_qi=0.0,0.05,0.99,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-151.2
a=0.05_g=0.99_eps=fixed_0.30_sw=0.0_qi=1.0,0.05,0.99,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-140.8
a=0.05_g=0.99_eps=fixed_0.30_sw=3.0_qi=0.0,0.05,0.99,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,120.6
a=0.05_g=0.99_eps=fixed_0.30_sw=3.0_qi=1.0,0.05,0.99,fixed_0.30,3.0,1.0,50.0,0.0,1.0,0.0,120.6
a=0.05_g=0.99_eps=decay_0.30_to_0.05_sw=0.0_qi=0.0,0.05,0.99,decay_0.30_to_0.05,0.0,0.0,50.0,0.0,0.28,0.0,-149.6
a=0.05_g=0.99_eps=decay_0.30_to_0.05_sw=0.0_qi=1.0,0.05,0.99,decay_0.30_to_0.05,0.0,1.0,50.0,0.0,0.28,0.0,-152.8
a=0.05_g=0.99_eps=decay_0.30_to_0.05_sw=3.0_qi=0.0,0.05,0.99,decay_0.30_to_0.05,3.0,0.0,50.0,0.0,1.0,0.0,119.2
a=0.05_g=0.99_eps=decay_0.30_to_0.05_sw=3.0_qi=1.0,0.05,0.99,decay_0.30_to_0.05,3.0,1.0,50.0,0.0,1.0,0.0,119.2
a=0.1_g=0.95_eps=fixed_0.10_sw=0.0_qi=0.0,0.1,0.95,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-141.6
a=0.1_g=0.95_eps=fixed_0.10_sw=0.0_qi=1.0,0.1,0.95,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-143.2
a=0.1_g=0.95_eps=fixed_0.10_sw=3.0_qi=0.0,0.1,0.95,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.1_g=0.95_eps=fixed_0.10_sw=3.0_qi=1.0,0.1,0.95,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.1_g=0.95_eps=fixed_0.30_sw=0.0_qi=0.0,0.1,0.95,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-145.6
a=0.1_g=0.95_eps=fixed_0.30_sw=0.0_qi=1.0,0.1,0.95,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-154.4
a=0.1_g=0.95_eps=fixed_0.30_sw=3.0_qi=0.0,0.1,0.95,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,120.6
a=0.1_g=0.95_eps=fixed_0.30_sw=3.0_qi=1.0,0.1,0.95,fixed_0.30,3.0,1.0,50.0,0.0,1.0,0.0,120.6
a=0.1_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=0.0,0.1,0.95,decay_0.30_to_0.05,0.0,0.0,50.0,0.0,0.28,0.0,-149.6
a=0.1_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=1.0,0.1,0.95,decay_0.30_to_0.05,0.0,1.0,50.0,0.0,0.28,0.0,-152.0
a=0.1_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=0.0,0.1,0.95,decay_0.30_to_0.05,3.0,0.0,50.0,0.0,1.0,0.0,117.6
a=0.1_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=1.0,0.1,0.95,decay_0.30_to_0.05,3.0,1.0,50.0,0.0,1.0,0.0,117.6
a=0.1_g=0.99_eps=fixed_0.10_sw=0.0_qi=0.0,0.1,0.99,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-139.2
a=0.1_g=0.99_eps=fixed_0.10_sw=0.0_qi=1.0,0.1,0.99,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-133.6
a=0.1_g=0.99_eps=fixed_0.10_sw=3.0_qi=0.0,0.1,0.99,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.1_g=0.99_eps=fixed_0.10_sw=3.0_qi=1.0,0.1,0.99,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.1_g=0.99_eps=fixed_0.30_sw=0.0_qi=0.0,0.1,0.99,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-142.4
a=0.1_g=0.99_eps=fixed_0.30_sw=0.0_qi=1.0,0.1,0.99,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-154.4
a=0.1_g=0.99_eps=fixed_0.30_sw=3.0_qi=0.0,0.1,0.99,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,120.6
a=0.1_g=0.99_eps=fixed_0.30_sw=3.0_qi=1.0,0.1,0.99,fixed_0.30,3.0,1.0,50.0,0.0,1.0,0.0,120.6
a=0.1_g=0.99_eps=decay_0.30_to_0.05_sw=0.0_qi=0.0,0.1,0.99,decay_0.30_to_0.05,0.0,0.0,50.0,0.0,0.28,0.0,-156.0
a=0.1_g=0.99_eps=decay_0.30_to_0.05_sw=0.0_qi=1.0,0.1,0.99,decay_0.30_to_0.05,0.0,1.0,50.0,0.0,0.28,0.0,-148.8
a=0.1_g=0.99_eps=decay_0.30_to_0.05_sw=3.0_qi=0.0,0.1,0.99,decay_0.30_to_0.05,3.0,0.0,50.0,0.0,1.0,0.0,117.6
a=0.1_g=0.99_eps=decay_0.30_to_0.05_sw=3.0_qi=1.0,0.1,0.99,decay_0.30_to_0.05,3.0,1.0,50.0,0.0,1.0,0.0,117.6
a=0.3_g=0.95_eps=fixed_0.10_sw=0.0_qi=0.0,0.3,0.95,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-111.4
a=0.3_g=0.95_eps=fixed_0.10_sw=0.0_qi=1.0,0.3,0.95,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-143.2
a=0.3_g=0.95_eps=fixed_0.10_sw=3.0_qi=0.0,0.3,0.95,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.3_g=0.95_eps=fixed_0.10_sw=3.0_qi=1.0,0.3,0.95,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.3_g=0.95_eps=fixed_0.30_sw=0.0_qi=0.0,0.3,0.95,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-153.6
a=0.3_g=0.95_eps=fixed_0.30_sw=0.0_qi=1.0,0.3,0.95,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-146.4
a=0.3_g=0.95_eps=fixed_0.30_sw=3.0_qi=0.0,0.3,0.95,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,115.6
a=0.3_g=0.95_eps=fixed_0.30_sw=3.0_qi=1.0,0.3,0.95,fixed_0.30,3.0,1.0,50.0,0.0,1.0,0.0,115.6
a=0.3_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=0.0,0.3,0.95,decay_0.30_to_0.05,0.0,0.0,50.0,0.0,0.28,0.0,-144.0
a=0.3_g=0.95_eps=decay_0.30_to_0.05_sw=0.0_qi=1.0,0.3,0.95,decay_0.30_to_0.05,0.0,1.0,50.0,0.0,0.28,0.0,-159.2
a=0.3_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=0.0,0.3,0.95,decay_0.30_to_0.05,3.0,0.0,50.0,0.0,1.0,0.0,119.4
a=0.3_g=0.95_eps=decay_0.30_to_0.05_sw=3.0_qi=1.0,0.3,0.95,decay_0.30_to_0.05,3.0,1.0,50.0,0.0,1.0,0.0,119.4
a=0.3_g=0.99_eps=fixed_0.10_sw=0.0_qi=0.0,0.3,0.99,fixed_0.10,0.0,0.0,50.0,0.0,0.28,0.0,-114.6
a=0.3_g=0.99_eps=fixed_0.10_sw=0.0_qi=1.0,0.3,0.99,fixed_0.10,0.0,1.0,50.0,0.0,0.28,0.0,-122.8
a=0.3_g=0.99_eps=fixed_0.10_sw=3.0_qi=0.0,0.3,0.99,fixed_0.10,3.0,0.0,49.0,0.0,1.0,0.0,138.0
a=0.3_g=0.99_eps=fixed_0.10_sw=3.0_qi=1.0,0.3,0.99,fixed_0.10,3.0,1.0,49.0,0.0,1.0,0.0,138.0
a=0.3_g=0.99_eps=fixed_0.30_sw=0.0_qi=0.0,0.3,0.99,fixed_0.30,0.0,0.0,50.0,0.0,0.28,0.0,-160.8
a=0.3_g=0.99_eps=fixed_0.30_sw=0.0_qi=1.0,0.3,0.99,fixed_0.30,0.0,1.0,50.0,0.0,0.28,0.0,-164.8
a=0.3_g=0.99_eps=fixed_0.30_sw=3.0_qi=0.0,0.3,0.99,fixed_0.30,3.0,0.0,50.0,0.0,1.0,0.0,115.6
